	cluster	cluster_color	dataset	dataset_color	type	type_color
NSCLC_EMTAB6149.55	7	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE114727_inDrop.57	7	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
BRCA_GSE150660.91	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	BRCA_GSE150660	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
AML_GSE116256.19	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	AML_GSE116256	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
PBMC_60K.63	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	PBMC_60K	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
OV_GSE154600.20	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
SKCM_GSE148190.26	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
COAD_GSE146771_10X.51	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
AML_GSE154109.81	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	AML_GSE154109	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
UVM_GSE139829.6	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
CLL_GSE111014.90	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	CLL_GSE111014	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
ALL_GSE132509.37	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	ALL_GSE132509	(1.0, 0.4980392156862745, 0.054901960784313725)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
PBMC_8K.90	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
COAD_GSE146771_Smartseq2.71	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
NHL_GSE128531.98	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
PRAD_GSE141445.96	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	PRAD_GSE141445	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PRAD	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SKCM_GSE115978_aPD1.28	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
NSCLC_EMTAB6149.21	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SCC_GSE144236.11	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NPC_GSE150430.66	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	NPC_GSE150430	(1.0, 0.4980392156862745, 0.054901960784313725)	NPC	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
CLL_GSE142744.3	8	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	CLL_GSE142744	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
COAD_GSE146771_Smartseq2.34	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
ALL_GSE154109.16	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	ALL_GSE154109	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
COAD_GSE146771_10X.60	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
BLCA_GSE145281_aPD1.75	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BLCA_GSE145281_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
ALL_GSE132509.8	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	ALL_GSE132509	(1.0, 0.4980392156862745, 0.054901960784313725)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE139495.94	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
CLL_GSE142744.73	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	CLL_GSE142744	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
PBMC_8K.92	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BRCA_GSE114727_inDrop.12	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
OV_GSE115007.2	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV_GSE115007	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
KIRC_GSE111360.60	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
MCC_GSE118056_aPDL1.40	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	MCC_GSE118056_aPDL1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	MCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NSCLC_GSE117570.66	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	NSCLC_GSE117570	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
AML_GSE116256.20	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	AML_GSE116256	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
MCC_GSE117988_aPD1aCTLA4.81	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	MCC_GSE117988_aPD1aCTLA4	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	MCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NSCLC_EMTAB6149.45	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
CLL_GSE111014.46	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	CLL_GSE111014	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
SCC_GSE144236.23	9	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PAAD_CRA001160.42	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
PAAD_GSE141017.91	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD_GSE141017	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
PAAD_GSE111672.62	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD_GSE111672	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
NHL_GSE128531.82	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
SCC_GSE144236.49	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
KIRC_GSE111360.67	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
BRCA_GSE114727_10X.34	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE114727_10X	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SCC_GSE145328.14	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SCC_GSE145328	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
SCC_GSE123813_aPD1.16	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SCC_GSE123813_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NSCLC_GSE117570.95	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NSCLC_GSE117570	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
NB_GSE154037.51	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NB_GSE154037	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	NB	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
BRCA_GSE150660.66	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE150660	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
GBM_GSE103224.64	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	GBM_GSE103224	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
SKCM_GSE148190.21	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
OV_GSE115007.27	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	OV_GSE115007	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
AML_GSE154109.74	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	AML_GSE154109	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
UVM_GSE139829.68	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
NSCLC_GSE143423.91	10	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NSCLC_GSE143423	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SKCM_GSE115978_aPD1.97	11	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
BRCA_GSE114727_inDrop.28	11	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
BRCA_GSE110686.14	11	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA_GSE110686	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
LECR_GSE139555_UCEC.61	11	(1.0, 0.4980392156862745, 0.054901960784313725)	LECR_GSE139555_UCEC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	LECR	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
GBM_GSE89567.49	11	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE89567	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
KIRC_GSE111360.27	11	(1.0, 0.4980392156862745, 0.054901960784313725)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
PRAD_GSE141445.28	11	(1.0, 0.4980392156862745, 0.054901960784313725)	PRAD_GSE141445	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PRAD	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
NSCLC_GSE153935.66	11	(1.0, 0.4980392156862745, 0.054901960784313725)	NSCLC_GSE153935	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
MCC_GSE118056_aPDL1.94	11	(1.0, 0.4980392156862745, 0.054901960784313725)	MCC_GSE118056_aPDL1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	MCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NHL_GSE128531.45	11	(1.0, 0.4980392156862745, 0.054901960784313725)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
PAAD_CRA001160.40	11	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
LIHC_GSE98638.6	11	(1.0, 0.4980392156862745, 0.054901960784313725)	LIHC_GSE98638	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	LIHC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BLCA_GSE145281_aPD1.31	11	(1.0, 0.4980392156862745, 0.054901960784313725)	BLCA_GSE145281_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BLCA_GSE149652.24	11	(1.0, 0.4980392156862745, 0.054901960784313725)	BLCA_GSE149652	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
SKCM_GSE148190.11	11	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
COAD_GSE108989.73	11	(1.0, 0.4980392156862745, 0.054901960784313725)	COAD_GSE108989	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
SCC_GSE145328.33	11	(1.0, 0.4980392156862745, 0.054901960784313725)	SCC_GSE145328	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BRCA_GSE110686.73	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA_GSE110686	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
PBMC_60K.27	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PBMC_60K	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BRCA_GSE114727_inDrop.42	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
PRAD_GSE141445.86	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PRAD_GSE141445	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PRAD	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
COAD_GSE146771_Smartseq2.19	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
KIRC_GSE111360.36	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
CLL_GSE142744.86	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	CLL_GSE142744	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
PBMC_8K.39	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
NPC_GSE150430.36	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NPC_GSE150430	(1.0, 0.4980392156862745, 0.054901960784313725)	NPC	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
NSCLC_EMTAB6149.91	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
NHL_GSE128531.99	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
ALL_GSE132509.58	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL_GSE132509	(1.0, 0.4980392156862745, 0.054901960784313725)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
ALL_GSE154109.73	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL_GSE154109	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
NSCLC_GSE99254.5	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_GSE99254	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
COAD_GSE146771_10X.70	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
BRCA_GSE139495.9	12	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
STAD_GSE134520.99	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	STAD_GSE134520	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	STAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
GBM_GSE139448.60	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	GBM_GSE139448	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
SKCM_GSE72056.25	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM_GSE72056	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
NSCLC_GSE153935.24	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC_GSE153935	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE114727_inDrop.0	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
PAAD_CRA001160.96	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
BCC_GSE141526.97	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	BCC_GSE141526	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BCC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
GBM_GSE131928_10X.8	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	GBM_GSE131928_10X	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
NSCLC_EMTAB6149.38	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
NHL_GSE128531.59	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
COAD_GSE146771_Smartseq2.17	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
PAAD_GSE111672.14	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PAAD_GSE111672	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
SCC_GSE144236.44	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PAAD_GSE141017.97	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PAAD_GSE141017	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
COAD_GSE146771_10X.75	13	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
KIRC_GSE111360.96	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
NSCLC_GSE143423.94	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC_GSE143423	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
MCC_GSE118056_aPDL1.95	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	MCC_GSE118056_aPDL1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	MCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BRCA_GSE110686.18	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	BRCA_GSE110686	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SCC_GSE144236.34	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NPC_GSE150430.82	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NPC_GSE150430	(1.0, 0.4980392156862745, 0.054901960784313725)	NPC	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
SCC_GSE145328.96	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	SCC_GSE145328	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
NB_GSE154037.52	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NB_GSE154037	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	NB	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
MB_GSE119926.84	14	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	MB_GSE119926	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	MB	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
